Transformed Features and CoefficientsParand: degree=8, λ=100.0                                                  Feature  Coefficient
132                              Area Room^4 Has_Elevator   165.556586
133                 Area Room^3 Has_Parking Has_Warehouse     0.000000
134                  Area Room^3 Has_Parking Has_Elevator     0.000000
135                Area Room^3 Has_Warehouse Has_Elevator     0.000000
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator     0.000000
137                                                Room^6    18.791963
138                                    Room^5 Has_Parking    -7.837918
139                                  Room^5 Has_Warehouse  -126.019275
140                                   Room^5 Has_Elevator    -0.000000
141                      Room^4 Has_Parking Has_Warehouse     0.000000
142                       Room^4 Has_Parking Has_Elevator  -452.517970
143                     Room^4 Has_Warehouse Has_Elevator   -52.026285
144         Room^3 Has_Parking Has_Warehouse Has_Elevator     0.000000
145                                                Area^7     0.177910
146                                           Area^6 Room    12.379668
147                                    Area^6 Has_Parking    -1.081146
148                                  Area^6 Has_Warehouse    -0.740755
149                                   Area^6 Has_Elevator    29.058393
150                                         Area^5 Room^2   -20.399110
151                               Area^5 Room Has_Parking     0.000000
152                             Area^5 Room Has_Warehouse    -0.000000
153                              Area^5 Room Has_Elevator    23.411171
154                      Area^5 Has_Parking Has_Warehouse     0.067767
155                       Area^5 Has_Parking Has_Elevator    -0.000000
156                     Area^5 Has_Warehouse Has_Elevator    -0.000000
157                                         Area^4 Room^3   -43.848632
158                             Area^4 Room^2 Has_Parking    -0.000000
159                           Area^4 Room^2 Has_Warehouse    -0.000000
160                            Area^4 Room^2 Has_Elevator    30.862071
161                 Area^4 Room Has_Parking Has_Warehouse     0.000000
162                  Area^4 Room Has_Parking Has_Elevator     0.000000
163                Area^4 Room Has_Warehouse Has_Elevator     0.000000
164         Area^4 Has_Parking Has_Warehouse Has_Elevator  -236.325658
165                                         Area^3 Room^4   -11.718948
166                             Area^3 Room^3 Has_Parking     0.001364
167                           Area^3 Room^3 Has_Warehouse     0.000000
168                            Area^3 Room^3 Has_Elevator   152.574010
169               Area^3 Room^2 Has_Parking Has_Warehouse    -0.000000
170                Area^3 Room^2 Has_Parking Has_Elevator     0.000000
171              Area^3 Room^2 Has_Warehouse Has_Elevator     0.000000
172    Area^3 Room Has_Parking Has_Warehouse Has_Elevator     0.000000
173                                         Area^2 Room^5     0.000000
174                             Area^2 Room^4 Has_Parking    53.143604
175                           Area^2 Room^4 Has_Warehouse     0.000000
176                            Area^2 Room^4 Has_Elevator   136.146278
177               Area^2 Room^3 Has_Parking Has_Warehouse    -0.000000
178                Area^2 Room^3 Has_Parking Has_Elevator   270.781845
179              Area^2 Room^3 Has_Warehouse Has_Elevator     0.000000
180  Area^2 Room^2 Has_Parking Has_Warehouse Has_Elevator     0.000000
181                                           Area Room^6    -4.420574
182                               Area Room^5 Has_Parking    82.185268
183                             Area Room^5 Has_Warehouse     0.061311
184                              Area Room^5 Has_Elevator     6.614018
185                 Area Room^4 Has_Parking Has_Warehouse    -0.000000
186                  Area Room^4 Has_Parking Has_Elevator   420.284582
187                Area Room^4 Has_Warehouse Has_Elevator     0.000000
188    Area Room^3 Has_Parking Has_Warehouse Has_Elevator     0.000000
189                                                Room^7     3.864279
190                                    Room^6 Has_Parking    -0.000000
191                                  Room^6 Has_Warehouse    -0.000000
192                                   Room^6 Has_Elevator    -0.925088
193                      Room^5 Has_Parking Has_Warehouse   -12.741226
194                       Room^5 Has_Parking Has_Elevator     0.000000
195                     Room^5 Has_Warehouse Has_Elevator   -10.202694
196         Room^4 Has_Parking Has_Warehouse Has_Elevator  -176.277857
197                                                Area^8     0.014157
198                                           Area^7 Room    -2.023751
199                                    Area^7 Has_Parking     0.258081
200                                  Area^7 Has_Warehouse    -0.064859
201                                   Area^7 Has_Elevator     2.670405
202                                         Area^6 Room^2    -8.118112
203                               Area^6 Room Has_Parking    -0.000000
