Transformed Features and CoefficientsParand: degree=10, λ=1                                                  Feature  Coefficient
0                                                    Area  9052.133300
1                                                    Room   545.344816
2                                             Has_Parking  2926.474772
3                                           Has_Warehouse     0.000000
4                                            Has_Elevator  -631.472377
5                                                  Area^2  1279.001844
6                                               Area Room   230.712282
7                                        Area Has_Parking  5384.442209
8                                      Area Has_Warehouse  -571.876460
9                                       Area Has_Elevator   591.800190
10                                                 Room^2   132.550430
11                                       Room Has_Parking  -537.722429
12                                     Room Has_Warehouse -1070.467929
13                                      Room Has_Elevator -2808.404328
14                              Has_Parking Has_Warehouse  3584.715441
15                               Has_Parking Has_Elevator -1664.553366
16                             Has_Warehouse Has_Elevator  -591.941370
17                                                 Area^3  -521.348809
18                                            Area^2 Room   139.789001
19                                     Area^2 Has_Parking  -398.738860
20                                   Area^2 Has_Warehouse  -842.185367
21                                    Area^2 Has_Elevator  3864.216848
22                                            Area Room^2 -1513.365985
23                                  Area Room Has_Parking  3016.473958
24                                Area Room Has_Warehouse     0.000000
25                                 Area Room Has_Elevator   552.800637
26                         Area Has_Parking Has_Warehouse  2949.501799
27                          Area Has_Parking Has_Elevator -1064.328075
28                        Area Has_Warehouse Has_Elevator -3488.391235
29                                                 Room^3   349.390104
30                                     Room^2 Has_Parking   229.920559
31                                   Room^2 Has_Warehouse   -24.819443
32                                    Room^2 Has_Elevator    -0.000000
33                         Room Has_Parking Has_Warehouse     0.000000
34                          Room Has_Parking Has_Elevator     0.000000
35                        Room Has_Warehouse Has_Elevator    37.951081
36                 Has_Parking Has_Warehouse Has_Elevator     0.000000
37                                                 Area^4    52.698983
38                                            Area^3 Room  -521.613903
39                                     Area^3 Has_Parking    22.053662
40                                   Area^3 Has_Warehouse    -9.932893
41                                    Area^3 Has_Elevator  -745.565830
42                                          Area^2 Room^2   -42.534855
43                                Area^2 Room Has_Parking   -12.370478
44                              Area^2 Room Has_Warehouse    -0.000000
45                               Area^2 Room Has_Elevator  2246.624421
46                       Area^2 Has_Parking Has_Warehouse -1049.630128
47                        Area^2 Has_Parking Has_Elevator -1634.685723
48                      Area^2 Has_Warehouse Has_Elevator -2899.459827
49                                            Area Room^3   -71.794507
50                                Area Room^2 Has_Parking   280.646293
51                              Area Room^2 Has_Warehouse    53.561041
52                               Area Room^2 Has_Elevator  1984.457564
53                    Area Room Has_Parking Has_Warehouse  2107.340623
54                     Area Room Has_Parking Has_Elevator  2228.780940
55                   Area Room Has_Warehouse Has_Elevator     0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator -5851.210931
57                                                 Room^4   106.247111
58                                     Room^3 Has_Parking    32.070792
59                                   Room^3 Has_Warehouse   -83.755774
60                                    Room^3 Has_Elevator  -192.282409
61                       Room^2 Has_Parking Has_Warehouse     0.581467
62                        Room^2 Has_Parking Has_Elevator -1861.533499
63                      Room^2 Has_Warehouse Has_Elevator  -514.471373
