Transformed Features and CoefficientsPunak: degree=10, λ=0.0001                                                  Feature   Coefficient
0                                                    Area  56996.983741
1                                                    Room    158.455600
2                                             Has_Parking   7128.669815
3                                           Has_Warehouse -35952.703625
4                                            Has_Elevator   9690.768173
5                                                  Area^2   9983.418477
6                                               Area Room -11815.742187
7                                        Area Has_Parking   5538.413528
8                                      Area Has_Warehouse  -9720.226937
9                                       Area Has_Elevator   6632.906828
10                                                 Room^2   6529.340192
11                                       Room Has_Parking  -4902.235566
12                                     Room Has_Warehouse   -980.445167
13                                      Room Has_Elevator   -799.617334
14                              Has_Parking Has_Warehouse   -618.388125
15                               Has_Parking Has_Elevator  12139.202859
16                             Has_Warehouse Has_Elevator  -9388.820732
17                                                 Area^3  -1428.126690
18                                            Area^2 Room   1271.606736
19                                     Area^2 Has_Parking   3039.579765
20                                   Area^2 Has_Warehouse   4636.941226
21                                    Area^2 Has_Elevator  -8747.199583
22                                            Area Room^2   1449.961707
23                                  Area Room Has_Parking  -3436.982100
24                                Area Room Has_Warehouse   -136.259308
25                                 Area Room Has_Elevator    772.705634
26                         Area Has_Parking Has_Warehouse   8977.459025
27                          Area Has_Parking Has_Elevator  -4547.431431
28                        Area Has_Warehouse Has_Elevator    593.463461
29                                                 Room^3  -1064.695583
30                                     Room^2 Has_Parking   2006.490928
31                                   Room^2 Has_Warehouse    932.984693
32                                    Room^2 Has_Elevator    520.464238
33                         Room Has_Parking Has_Warehouse    -92.068148
34                          Room Has_Parking Has_Elevator   -430.951337
35                        Room Has_Warehouse Has_Elevator  -1500.309279
36                 Has_Parking Has_Warehouse Has_Elevator   7993.518868
37                                                 Area^4   -154.095886
38                                            Area^3 Room   1154.425207
39                                     Area^3 Has_Parking  -2049.989111
40                                   Area^3 Has_Warehouse   -539.897770
41                                    Area^3 Has_Elevator    592.595475
42                                          Area^2 Room^2   1253.828233
43                                Area^2 Room Has_Parking  -1918.067976
44                              Area^2 Room Has_Warehouse     80.095624
45                               Area^2 Room Has_Elevator   -467.373243
46                       Area^2 Has_Parking Has_Warehouse   3246.671295
47                        Area^2 Has_Parking Has_Elevator  -4333.351514
48                      Area^2 Has_Warehouse Has_Elevator      8.526924
49                                            Area Room^3   -412.141706
50                                Area Room^2 Has_Parking   2745.186073
51                              Area Room^2 Has_Warehouse   -261.339496
52                               Area Room^2 Has_Elevator     -4.163162
53                    Area Room Has_Parking Has_Warehouse  -4984.344741
54                     Area Room Has_Parking Has_Elevator   -355.046874
55                   Area Room Has_Warehouse Has_Elevator    700.161398
56            Area Has_Parking Has_Warehouse Has_Elevator   6416.245379
57                                                 Room^4    226.169556
58                                     Room^3 Has_Parking   -649.067021
59                                   Room^3 Has_Warehouse   -289.072718
60                                    Room^3 Has_Elevator    -87.554783
61                       Room^2 Has_Parking Has_Warehouse    212.176638
62                        Room^2 Has_Parking Has_Elevator    276.189798
63                      Room^2 Has_Warehouse Has_Elevator    844.572825
64            Room Has_Parking Has_Warehouse Has_Elevator    575.826700
65                                                 Area^5     14.112938
66                                            Area^4 Room    105.343050
67                                     Area^4 Has_Parking   -322.129626
68                                   Area^4 Has_Warehouse     54.141675
69                                    Area^4 Has_Elevator    -51.048417
70                                          Area^3 Room^2    306.708885
71                                Area^3 Room Has_Parking    692.818914
72                              Area^3 Room Has_Warehouse    -12.754639
73                               Area^3 Room Has_Elevator     52.154326
74                       Area^3 Has_Parking Has_Warehouse  -2197.816148
75                        Area^3 Has_Parking Has_Elevator     61.790798
76                      Area^3 Has_Warehouse Has_Elevator    -11.450158
77                                          Area^2 Room^3     80.718659
78                              Area^2 Room^2 Has_Parking   1059.321286
79                            Area^2 Room^2 Has_Warehouse     59.848972
80                             Area^2 Room^2 Has_Elevator     14.844849
81                  Area^2 Room Has_Parking Has_Warehouse  -2146.283937
82                   Area^2 Room Has_Parking Has_Elevator   -281.199315
83                 Area^2 Room Has_Warehouse Has_Elevator   -104.119673
84          Area^2 Has_Parking Has_Warehouse Has_Elevator   -697.180993
85                                            Area Room^4    370.846950
86                                Area Room^3 Has_Parking  -1240.626663
87                              Area Room^3 Has_Warehouse    133.255912
88                               Area Room^3 Has_Elevator     33.205652
89                  Area Room^2 Has_Parking Has_Warehouse   1876.329684
90                   Area Room^2 Has_Parking Has_Elevator     -1.789551
91                 Area Room^2 Has_Warehouse Has_Elevator   -220.952413
92       Area Room Has_Parking Has_Warehouse Has_Elevator  -3853.479706
93                                                 Room^5    306.723457
94                                     Room^4 Has_Parking    629.837134
95                                   Room^4 Has_Warehouse    230.710754
96                                    Room^4 Has_Elevator     54.711707
97                       Room^3 Has_Parking Has_Warehouse   -496.245436
98                        Room^3 Has_Parking Has_Elevator   -116.875169
