Transformed Features and CoefficientsParand: degree=8, λ=10                                                  Feature  Coefficient
0                                                    Area  8674.360030
1                                                    Room    -0.000000
2                                             Has_Parking  2050.137415
3                                           Has_Warehouse     0.000000
4                                            Has_Elevator  -729.114865
5                                                  Area^2   946.765660
6                                               Area Room     0.000000
7                                        Area Has_Parking  6353.395180
8                                      Area Has_Warehouse     0.000000
9                                       Area Has_Elevator    -0.000000
10                                                 Room^2     0.000000
11                                       Room Has_Parking    -0.000000
12                                     Room Has_Warehouse    -0.000000
13                                      Room Has_Elevator  -125.451316
14                              Has_Parking Has_Warehouse  4037.349585
15                               Has_Parking Has_Elevator  -672.837180
16                             Has_Warehouse Has_Elevator -1390.355199
17                                                 Area^3  -703.474643
18                                            Area^2 Room    -0.000000
19                                     Area^2 Has_Parking    37.304973
20                                   Area^2 Has_Warehouse    -0.000000
21                                    Area^2 Has_Elevator   504.960074
22                                            Area Room^2     0.000000
23                                  Area Room Has_Parking  1943.680110
24                                Area Room Has_Warehouse     0.000000
25                                 Area Room Has_Elevator     0.000000
26                         Area Has_Parking Has_Warehouse     0.000000
27                          Area Has_Parking Has_Elevator    -0.000000
28                        Area Has_Warehouse Has_Elevator -5480.545410
29                                                 Room^3    -0.000000
30                                     Room^2 Has_Parking     0.000000
31                                   Room^2 Has_Warehouse     0.000000
32                                    Room^2 Has_Elevator     0.000000
33                         Room Has_Parking Has_Warehouse    -0.000000
34                          Room Has_Parking Has_Elevator    -0.000000
35                        Room Has_Warehouse Has_Elevator    -0.000000
36                 Has_Parking Has_Warehouse Has_Elevator    -0.000000
37                                                 Area^4    45.175442
38                                            Area^3 Room  -116.076884
39                                     Area^3 Has_Parking   -31.258738
40                                   Area^3 Has_Warehouse   -84.858632
41                                    Area^3 Has_Elevator -1438.764131
42                                          Area^2 Room^2    49.331906
43                                Area^2 Room Has_Parking    -0.000000
44                              Area^2 Room Has_Warehouse    -0.000000
45                               Area^2 Room Has_Elevator  1488.894157
46                       Area^2 Has_Parking Has_Warehouse     0.000000
47                        Area^2 Has_Parking Has_Elevator     0.000000
48                      Area^2 Has_Warehouse Has_Elevator -2425.312342
49                                            Area Room^3   219.220423
50                                Area Room^2 Has_Parking    -0.000000
51                              Area Room^2 Has_Warehouse    -0.000000
52                               Area Room^2 Has_Elevator     0.000000
53                    Area Room Has_Parking Has_Warehouse     0.000000
54                     Area Room Has_Parking Has_Elevator     0.000000
55                   Area Room Has_Warehouse Has_Elevator     0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator -1155.524290
57                                                 Room^4    93.622228
58                                     Room^3 Has_Parking  -101.994818
59                                   Room^3 Has_Warehouse  -518.234839
60                                    Room^3 Has_Elevator  -105.237928
61                       Room^2 Has_Parking Has_Warehouse     0.000000
62                        Room^2 Has_Parking Has_Elevator    -0.000000
63                      Room^2 Has_Warehouse Has_Elevator    -0.000000
64            Room Has_Parking Has_Warehouse Has_Elevator     0.000000
65                                                 Area^5    10.853792
66                                            Area^4 Room   184.803188
67                                     Area^4 Has_Parking   -19.928093
68                                   Area^4 Has_Warehouse   -17.335073
69                                    Area^4 Has_Elevator   257.697643
70                                          Area^3 Room^2  -166.702049
71                                Area^3 Room Has_Parking    32.646051
72                              Area^3 Room Has_Warehouse     0.000000
73                               Area^3 Room Has_Elevator    72.434857
74                       Area^3 Has_Parking Has_Warehouse   -56.811250
75                        Area^3 Has_Parking Has_Elevator    -0.000000
76                      Area^3 Has_Warehouse Has_Elevator  -393.277877
77                                          Area^2 Room^3    65.041085
78                              Area^2 Room^2 Has_Parking     2.539254
79                            Area^2 Room^2 Has_Warehouse     0.000000
80                             Area^2 Room^2 Has_Elevator   604.084828
81                  Area^2 Room Has_Parking Has_Warehouse  -249.283821
82                   Area^2 Room Has_Parking Has_Elevator     0.000000
83                 Area^2 Room Has_Warehouse Has_Elevator     0.000000
84          Area^2 Has_Parking Has_Warehouse Has_Elevator -2415.265436
85                                            Area Room^4   -70.187321
86                                Area Room^3 Has_Parking   725.910439
87                              Area Room^3 Has_Warehouse     0.000000
88                               Area Room^3 Has_Elevator   507.961152
89                  Area Room^2 Has_Parking Has_Warehouse    -0.000000
90                   Area Room^2 Has_Parking Has_Elevator  2368.097135
91                 Area Room^2 Has_Warehouse Has_Elevator     0.000000
92       Area Room Has_Parking Has_Warehouse Has_Elevator    -0.000000
93                                                 Room^5   -48.652965
94                                     Room^4 Has_Parking     0.000000
95                                   Room^4 Has_Warehouse   -24.403410
96                                    Room^4 Has_Elevator    -1.949521
97                       Room^3 Has_Parking Has_Warehouse  -188.165528
98                        Room^3 Has_Parking Has_Elevator     0.000000
99                      Room^3 Has_Warehouse Has_Elevator    -0.000000
100         Room^2 Has_Parking Has_Warehouse Has_Elevator  -808.461131
101                                                Area^6     0.825111
102                                           Area^5 Room   -21.784293
103                                    Area^5 Has_Parking     2.702454
104                                  Area^5 Has_Warehouse    -0.852820
105                                   Area^5 Has_Elevator    10.622547
106                                         Area^4 Room^2   -30.789096
107                               Area^4 Room Has_Parking   -17.288662
108                             Area^4 Room Has_Warehouse    -0.000000
109                              Area^4 Room Has_Elevator    69.037812
110                      Area^4 Has_Parking Has_Warehouse     0.000000
111                       Area^4 Has_Parking Has_Elevator    -0.000000
112                     Area^4 Has_Warehouse Has_Elevator   -49.069636
113                                         Area^3 Room^3   -55.169386
114                             Area^3 Room^2 Has_Parking  -101.572152
115                           Area^3 Room^2 Has_Warehouse    -0.000000
116                            Area^3 Room^2 Has_Elevator   160.622107
117                 Area^3 Room Has_Parking Has_Warehouse     0.000000
118                  Area^3 Room Has_Parking Has_Elevator     0.000000
119                Area^3 Room Has_Warehouse Has_Elevator     0.000000
120         Area^3 Has_Parking Has_Warehouse Has_Elevator  -753.100868
121                                         Area^2 Room^4   -12.842357
122                             Area^2 Room^3 Has_Parking   -42.189379
123                           Area^2 Room^3 Has_Warehouse    -0.000000
124                            Area^2 Room^3 Has_Elevator   359.929823
125               Area^2 Room^2 Has_Parking Has_Warehouse     8.503112
126                Area^2 Room^2 Has_Parking Has_Elevator   355.225343
127              Area^2 Room^2 Has_Warehouse Has_Elevator    16.020604
