Transformed Features and CoefficientsPunak: degree=10, λ=1e-08                                                  Feature   Coefficient
0                                                    Area  56997.101671
1                                                    Room    158.368686
2                                             Has_Parking   7130.014374
3                                           Has_Warehouse -35951.972483
4                                            Has_Elevator   9690.740446
5                                                  Area^2   9983.417827
6                                               Area Room -11815.828834
7                                        Area Has_Parking   5538.470976
8                                      Area Has_Warehouse  -9720.412195
9                                       Area Has_Elevator   6633.008573
10                                                 Room^2   6529.449645
11                                       Room Has_Parking  -4902.313294
12                                     Room Has_Warehouse   -980.421116
13                                      Room Has_Elevator   -799.665837
14                              Has_Parking Has_Warehouse   -619.704290
15                               Has_Parking Has_Elevator  12138.758272
16                             Has_Warehouse Has_Elevator  -9388.729282
17                                                 Area^3  -1428.113255
18                                            Area^2 Room   1271.623032
19                                     Area^2 Has_Parking   3039.590785
20                                   Area^2 Has_Warehouse   4636.933763
21                                    Area^2 Has_Elevator  -8747.220447
22                                            Area Room^2   1449.987262
23                                  Area Room Has_Parking  -3437.065613
24                                Area Room Has_Warehouse   -136.185906
25                                 Area Room Has_Elevator    772.725839
26                         Area Has_Parking Has_Warehouse   8977.492720
27                          Area Has_Parking Has_Elevator  -4547.608495
28                        Area Has_Warehouse Has_Elevator    593.488418
29                                                 Room^3  -1064.670885
30                                     Room^2 Has_Parking   2006.486828
31                                   Room^2 Has_Warehouse    932.995932
32                                    Room^2 Has_Elevator    520.476281
33                         Room Has_Parking Has_Warehouse    -91.982951
34                          Room Has_Parking Has_Elevator   -431.156097
35                        Room Has_Warehouse Has_Elevator  -1500.249898
36                 Has_Parking Has_Warehouse Has_Elevator   7993.917315
37                                                 Area^4   -154.099844
38                                            Area^3 Room   1154.426353
39                                     Area^3 Has_Parking  -2049.990061
40                                   Area^3 Has_Warehouse   -539.896874
41                                    Area^3 Has_Elevator    592.599060
42                                          Area^2 Room^2   1253.826932
43                                Area^2 Room Has_Parking  -1918.074559
44                              Area^2 Room Has_Warehouse     80.105773
45                               Area^2 Room Has_Elevator   -467.378775
46                       Area^2 Has_Parking Has_Warehouse   3246.704675
47                        Area^2 Has_Parking Has_Elevator  -4333.401753
48                      Area^2 Has_Warehouse Has_Elevator      8.548617
49                                            Area Room^3   -412.153199
50                                Area Room^2 Has_Parking   2745.222300
51                              Area Room^2 Has_Warehouse   -261.364849
52                               Area Room^2 Has_Elevator     -4.155343
53                    Area Room Has_Parking Has_Warehouse  -4984.409129
54                     Area Room Has_Parking Has_Elevator   -355.010544
55                   Area Room Has_Warehouse Has_Elevator    700.201100
56            Area Has_Parking Has_Warehouse Has_Elevator   6416.283850
57                                                 Room^4    226.149097
58                                     Room^3 Has_Parking   -649.068279
59                                   Room^3 Has_Warehouse   -289.072563
60                                    Room^3 Has_Elevator    -87.542063
61                       Room^2 Has_Parking Has_Warehouse    212.159778
62                        Room^2 Has_Parking Has_Elevator    276.203330
63                      Room^2 Has_Warehouse Has_Elevator    844.581975
