Transformed Features and CoefficientsPunak: degree=8, λ=0.0001                                                  Feature   Coefficient
0                                                    Area  56602.941025
1                                                    Room    428.128552
2                                             Has_Parking   7331.676093
3                                           Has_Warehouse -35713.961809
4                                            Has_Elevator   9752.495406
5                                                  Area^2  10305.244584
6                                               Area Room -12739.313584
7                                        Area Has_Parking   5645.272275
8                                      Area Has_Warehouse  -9701.582424
9                                       Area Has_Elevator   6529.378582
10                                                 Room^2   7018.422940
11                                       Room Has_Parking  -4767.334100
12                                     Room Has_Warehouse  -1034.676605
13                                      Room Has_Elevator   -781.494989
14                              Has_Parking Has_Warehouse   -449.462700
15                               Has_Parking Has_Elevator  12237.050202
16                             Has_Warehouse Has_Elevator  -9452.456028
17                                                 Area^3   -954.404409
18                                            Area^2 Room    739.712967
19                                     Area^2 Has_Parking   2957.571922
20                                   Area^2 Has_Warehouse   4634.656877
21                                    Area^2 Has_Elevator  -8686.005320
22                                            Area Room^2   1056.334389
23                                  Area Room Has_Parking  -3759.783618
24                                Area Room Has_Warehouse   -111.939131
25                                 Area Room Has_Elevator    862.241138
26                         Area Has_Parking Has_Warehouse   9479.518628
27                          Area Has_Parking Has_Elevator  -4610.556050
28                        Area Has_Warehouse Has_Elevator    597.341252
29                                                 Room^3   -855.451152
30                                     Room^2 Has_Parking   2070.374602
31                                   Room^2 Has_Warehouse    969.470335
32                                    Room^2 Has_Elevator    488.903753
33                         Room Has_Parking Has_Warehouse    -75.894656
34                          Room Has_Parking Has_Elevator   -393.631340
35                        Room Has_Warehouse Has_Elevator  -1553.200988
36                 Has_Parking Has_Warehouse Has_Elevator   7867.075097
37                                                 Area^4      7.888513
38                                            Area^3 Room   1227.918724
39                                     Area^3 Has_Parking  -2289.492794
40                                   Area^3 Has_Warehouse   -539.577780
41                                    Area^3 Has_Elevator    586.038816
42                                          Area^2 Room^2   1195.152523
43                                Area^2 Room Has_Parking  -2251.077436
44                              Area^2 Room Has_Warehouse     75.816223
45                               Area^2 Room Has_Elevator   -482.725599
46                       Area^2 Has_Parking Has_Warehouse   3121.423346
47                        Area^2 Has_Parking Has_Elevator  -4278.645399
48                      Area^2 Has_Warehouse Has_Elevator     12.293487
49                                            Area Room^3   -640.849247
