Transformed Features and CoefficientsShahran: degree=8, λ=1                                                  Feature   Coefficient
0                                                    Area  31958.934041
1                                                    Room   -216.740867
2                                             Has_Parking   2192.020712
3                                           Has_Warehouse -16893.519452
4                                            Has_Elevator      6.502648
5                                                  Area^2  12180.522819
6                                               Area Room  -3565.568241
7                                        Area Has_Parking   4876.116814
8                                      Area Has_Warehouse  -6726.675732
9                                       Area Has_Elevator  -5539.846178
10                                                 Room^2    705.932456
11                                       Room Has_Parking   2827.842759
12                                     Room Has_Warehouse   1079.657892
13                                      Room Has_Elevator   1858.042622
14                              Has_Parking Has_Warehouse  10740.643697
15                               Has_Parking Has_Elevator   1438.587201
16                             Has_Warehouse Has_Elevator   5311.204716
17                                                 Area^3    568.771350
18                                            Area^2 Room    -47.150769
19                                     Area^2 Has_Parking   5814.701544
20                                   Area^2 Has_Warehouse     -0.000000
21                                    Area^2 Has_Elevator  -8090.641064
22                                            Area Room^2   1038.890123
23                                  Area Room Has_Parking   5275.639568
24                                Area Room Has_Warehouse  -2264.145173
25                                 Area Room Has_Elevator  -2865.292725
26                         Area Has_Parking Has_Warehouse   7012.697598
27                          Area Has_Parking Has_Elevator -12666.651410
28                        Area Has_Warehouse Has_Elevator  -1180.311726
29                                                 Room^3    420.711101
30                                     Room^2 Has_Parking    222.727685
31                                   Room^2 Has_Warehouse    130.052593
32                                    Room^2 Has_Elevator   -453.781145
33                         Room Has_Parking Has_Warehouse   -944.854570
34                          Room Has_Parking Has_Elevator   1003.929047
35                        Room Has_Warehouse Has_Elevator      0.000000
36                 Has_Parking Has_Warehouse Has_Elevator   2883.823727
37                                                 Area^4  -2014.736523
38                                            Area^3 Room   2481.099500
39                                     Area^3 Has_Parking   4273.847696
40                                   Area^3 Has_Warehouse   -927.787546
41                                    Area^3 Has_Elevator   1725.984632
42                                          Area^2 Room^2   1379.292251
43                                Area^2 Room Has_Parking  -2238.394812
44                              Area^2 Room Has_Warehouse   -265.798275
45                               Area^2 Room Has_Elevator  -1196.123275
46                       Area^2 Has_Parking Has_Warehouse   7738.276524
47                        Area^2 Has_Parking Has_Elevator  -9039.022612
48                      Area^2 Has_Warehouse Has_Elevator  -1657.726677
49                                            Area Room^3   -515.247549
50                                Area Room^2 Has_Parking    530.389708
51                              Area Room^2 Has_Warehouse   1000.098565
52                               Area Room^2 Has_Elevator   -689.215411
53                    Area Room Has_Parking Has_Warehouse   1225.985168
54                     Area Room Has_Parking Has_Elevator  -1892.423054
55                   Area Room Has_Warehouse Has_Elevator  -2930.197258
56            Area Has_Parking Has_Warehouse Has_Elevator  -3602.953810
57                                                 Room^4     46.093036
58                                     Room^3 Has_Parking   -460.882979
59                                   Room^3 Has_Warehouse    363.284976
60                                    Room^3 Has_Elevator   -149.320828
61                       Room^2 Has_Parking Has_Warehouse    327.051238
62                        Room^2 Has_Parking Has_Elevator    381.428687
63                      Room^2 Has_Warehouse Has_Elevator    -73.596527
64            Room Has_Parking Has_Warehouse Has_Elevator      0.000000
65                                                 Area^5   -441.481178
66                                            Area^4 Room      1.301182
67                                     Area^4 Has_Parking   -759.459141
68                                   Area^4 Has_Warehouse   -673.001739
69                                    Area^4 Has_Elevator   1136.399308
70                                          Area^3 Room^2    241.190686
