Transformed Features and CoefficientsShahran: degree=10, λ=0.01                                                  Feature   Coefficient
0                                                    Area  32074.136442
1                                                    Room  -1411.786616
2                                             Has_Parking  -1831.721641
3                                           Has_Warehouse -18245.777752
4                                            Has_Elevator    203.707236
5                                                  Area^2  11380.641129
6                                               Area Room  -4313.164462
7                                        Area Has_Parking   4887.084724
8                                      Area Has_Warehouse  -6199.675157
9                                       Area Has_Elevator  -6121.094798
10                                                 Room^2   1930.023354
11                                       Room Has_Parking   5407.557961
12                                     Room Has_Warehouse    508.431477
13                                      Room Has_Elevator   1555.171774
14                              Has_Parking Has_Warehouse  13616.790693
15                               Has_Parking Has_Elevator   3026.035250
16                             Has_Warehouse Has_Elevator    964.841619
17                                                 Area^3   -167.860264
18                                            Area^2 Room    -20.394779
19                                     Area^2 Has_Parking   6740.036884
20                                   Area^2 Has_Warehouse     94.882582
21                                    Area^2 Has_Elevator  -9490.268280
22                                            Area Room^2   1277.207802
23                                  Area Room Has_Parking   5413.674535
24                                Area Room Has_Warehouse  -2964.568784
25                                 Area Room Has_Elevator  -3248.992860
26                         Area Has_Parking Has_Warehouse   8162.738005
27                          Area Has_Parking Has_Elevator -13120.312465
28                        Area Has_Warehouse Has_Elevator  -1393.126266
29                                                 Room^3    144.928285
30                                     Room^2 Has_Parking    309.752915
31                                   Room^2 Has_Warehouse    436.349592
32                                    Room^2 Has_Elevator  -1144.835058
33                         Room Has_Parking Has_Warehouse  -1677.187268
34                          Room Has_Parking Has_Elevator   2495.196050
35                        Room Has_Warehouse Has_Elevator   -680.959528
36                 Has_Parking Has_Warehouse Has_Elevator   5134.800322
37                                                 Area^4  -1971.722441
38                                            Area^3 Room   3066.199515
39                                     Area^3 Has_Parking   3988.324334
40                                   Area^3 Has_Warehouse   -643.976769
41                                    Area^3 Has_Elevator   1412.653212
42                                          Area^2 Room^2   1045.159340
43                                Area^2 Room Has_Parking  -2577.460910
44                              Area^2 Room Has_Warehouse    -70.209958
45                               Area^2 Room Has_Elevator  -1589.476022
46                       Area^2 Has_Parking Has_Warehouse   9047.981625
47                        Area^2 Has_Parking Has_Elevator -10329.116235
48                      Area^2 Has_Warehouse Has_Elevator  -1725.735091
49                                            Area Room^3   -475.424389
50                                Area Room^2 Has_Parking   1371.689658
51                              Area Room^2 Has_Warehouse   1145.043867
52                               Area Room^2 Has_Elevator  -1347.590483
53                    Area Room Has_Parking Has_Warehouse   1554.702866
54                     Area Room Has_Parking Has_Elevator  -2472.782901
55                   Area Room Has_Warehouse Has_Elevator  -3279.354255
56            Area Has_Parking Has_Warehouse Has_Elevator  -2862.613365
57                                                 Room^4    138.234422
58                                     Room^3 Has_Parking   -536.107965
59                                   Room^3 Has_Warehouse    346.942706
60                                    Room^3 Has_Elevator   -291.895762
61                       Room^2 Has_Parking Has_Warehouse    431.184739
62                        Room^2 Has_Parking Has_Elevator    634.671660
63                      Room^2 Has_Warehouse Has_Elevator   -686.050581
64            Room Has_Parking Has_Warehouse Has_Elevator    722.549060
65                                                 Area^5   -530.849357
66                                            Area^4 Room    461.521840
67                                     Area^4 Has_Parking   -548.461759
68                                   Area^4 Has_Warehouse   -774.439365
69                                    Area^4 Has_Elevator   1336.865775
70                                          Area^3 Room^2     47.785514
71                                Area^3 Room Has_Parking   2074.331908
72                              Area^3 Room Has_Warehouse     42.225763
73                               Area^3 Room Has_Elevator    822.683212
74                       Area^3 Has_Parking Has_Warehouse   4324.183466
75                        Area^3 Has_Parking Has_Elevator   1047.546222
76                      Area^3 Has_Warehouse Has_Elevator   -362.037537
77                                          Area^2 Room^3   -688.356343
78                              Area^2 Room^2 Has_Parking    -70.033391
79                            Area^2 Room^2 Has_Warehouse    400.328869
80                             Area^2 Room^2 Has_Elevator   -353.370171
81                  Area^2 Room Has_Parking Has_Warehouse   -379.143552
82                   Area^2 Room Has_Parking Has_Elevator  -1232.178009
83                 Area^2 Room Has_Warehouse Has_Elevator  -1800.373684
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -3364.822344
85                                            Area Room^4    666.282749
86                                Area Room^3 Has_Parking   -923.317234
87                              Area Room^3 Has_Warehouse      1.817566
88                               Area Room^3 Has_Elevator   -118.458778
89                  Area Room^2 Has_Parking Has_Warehouse    861.298466
90                   Area Room^2 Has_Parking Has_Elevator    203.250315
91                 Area Room^2 Has_Warehouse Has_Elevator   -311.262507
92       Area Room Has_Parking Has_Warehouse Has_Elevator  -1956.204317
93                                                 Room^5   -107.257618
94                                     Room^4 Has_Parking    274.996275
95                                   Room^4 Has_Warehouse     -3.774198
96                                    Room^4 Has_Elevator    -50.471407
97                       Room^3 Has_Parking Has_Warehouse   -681.872030
98                        Room^3 Has_Parking Has_Elevator    222.396678
99                      Room^3 Has_Warehouse Has_Elevator   -100.352160
100         Room^2 Has_Parking Has_Warehouse Has_Elevator   1289.818975
101                                                Area^6   -496.749299
102                                           Area^5 Room   -309.614225
103                                    Area^5 Has_Parking   -217.817293
104                                  Area^5 Has_Warehouse     12.556559
105                                   Area^5 Has_Elevator   -342.463403
106                                         Area^4 Room^2    147.734506
107                               Area^4 Room Has_Parking    447.647183
108                             Area^4 Room Has_Warehouse    190.501571
109                              Area^4 Room Has_Elevator   -175.168633
110                      Area^4 Has_Parking Has_Warehouse    618.925939
111                       Area^4 Has_Parking Has_Elevator    546.611998
112                     Area^4 Has_Warehouse Has_Elevator     -0.807617
113                                         Area^3 Room^3    168.280680
114                             Area^3 Room^2 Has_Parking   -202.632385
115                           Area^3 Room^2 Has_Warehouse   -157.574052
116                            Area^3 Room^2 Has_Elevator     45.685397
117                 Area^3 Room Has_Parking Has_Warehouse   2391.467826
118                  Area^3 Room Has_Parking Has_Elevator    584.504370
119                Area^3 Room Has_Warehouse Has_Elevator    674.215958
120         Area^3 Has_Parking Has_Warehouse Has_Elevator   5015.862667
