Transformed Features and CoefficientsShahran: degree=8, λ=0.01                                                  Feature   Coefficient
0                                                    Area  32820.917052
1                                                    Room   -992.230498
2                                             Has_Parking   -466.391966
3                                           Has_Warehouse -16940.201240
4                                            Has_Elevator    147.994567
5                                                  Area^2  12825.448577
6                                               Area Room  -4769.409465
7                                        Area Has_Parking   5142.045609
8                                      Area Has_Warehouse  -7113.158333
9                                       Area Has_Elevator  -5662.398727
10                                                 Room^2   1646.529127
11                                       Room Has_Parking   4723.784552
12                                     Room Has_Warehouse   1243.725900
13                                      Room Has_Elevator   1085.288287
14                              Has_Parking Has_Warehouse  14064.673285
15                               Has_Parking Has_Elevator   3977.397915
16                             Has_Warehouse Has_Elevator   1020.709984
17                                                 Area^3    382.991398
18                                            Area^2 Room    -59.748367
19                                     Area^2 Has_Parking   6663.790717
20                                   Area^2 Has_Warehouse    247.449851
21                                    Area^2 Has_Elevator  -9107.187321
22                                            Area Room^2    977.540583
23                                  Area Room Has_Parking   6197.569991
24                                Area Room Has_Warehouse  -3416.587519
25                                 Area Room Has_Elevator  -3096.753225
26                         Area Has_Parking Has_Warehouse   7728.113414
27                          Area Has_Parking Has_Elevator -13195.853383
28                        Area Has_Warehouse Has_Elevator  -1646.620915
29                                                 Room^3    352.747789
30                                     Room^2 Has_Parking    203.453426
31                                   Room^2 Has_Warehouse    214.335438
32                                    Room^2 Has_Elevator  -1088.241513
33                         Room Has_Parking Has_Warehouse  -2220.278102
34                          Room Has_Parking Has_Elevator   2861.929014
35                        Room Has_Warehouse Has_Elevator   -799.956888
36                 Has_Parking Has_Warehouse Has_Elevator   4202.482190
37                                                 Area^4  -2154.375228
38                                            Area^3 Room   2941.699746
39                                     Area^3 Has_Parking   4708.571218
40                                   Area^3 Has_Warehouse   -877.239558
41                                    Area^3 Has_Elevator   1412.443617
42                                          Area^2 Room^2   1453.895024
43                                Area^2 Room Has_Parking  -2429.486126
44                              Area^2 Room Has_Warehouse    -72.093236
45                               Area^2 Room Has_Elevator  -1517.722162
46                       Area^2 Has_Parking Has_Warehouse   8256.200721
47                        Area^2 Has_Parking Has_Elevator  -9796.104149
48                      Area^2 Has_Warehouse Has_Elevator  -1774.906050
49                                            Area Room^3   -521.548570
50                                Area Room^2 Has_Parking    857.528726
51                              Area Room^2 Has_Warehouse   1150.819939
52                               Area Room^2 Has_Elevator  -1296.468441
53                    Area Room Has_Parking Has_Warehouse   2175.771111
54                     Area Room Has_Parking Has_Elevator  -2749.549158
55                   Area Room Has_Warehouse Has_Elevator  -3237.690944
56            Area Has_Parking Has_Warehouse Has_Elevator  -3206.968376
57                                                 Room^4     88.545040
58                                     Room^3 Has_Parking   -441.529097
59                                   Room^3 Has_Warehouse    450.156320
60                                    Room^3 Has_Elevator   -352.169462
61                       Room^2 Has_Parking Has_Warehouse    469.982014
62                        Room^2 Has_Parking Has_Elevator    494.975548
63                      Room^2 Has_Warehouse Has_Elevator   -696.629498
64            Room Has_Parking Has_Warehouse Has_Elevator    699.075455
65                                                 Area^5   -422.205555
66                                            Area^4 Room     79.617545
67                                     Area^4 Has_Parking   -938.019200
68                                   Area^4 Has_Warehouse   -598.230499
69                                    Area^4 Has_Elevator   1354.094306
70                                          Area^3 Room^2    270.696502
71                                Area^3 Room Has_Parking   1783.663663
72                              Area^3 Room Has_Warehouse    -23.200334
73                               Area^3 Room Has_Elevator    851.060034
74                       Area^3 Has_Parking Has_Warehouse   5020.150572
75                        Area^3 Has_Parking Has_Elevator    787.541364
76                      Area^3 Has_Warehouse Has_Elevator   -214.257351
77                                          Area^2 Room^3   -664.837684
78                              Area^2 Room^2 Has_Parking    316.584797
79                            Area^2 Room^2 Has_Warehouse    450.186126
80                             Area^2 Room^2 Has_Elevator   -427.319863
81                  Area^2 Room Has_Parking Has_Warehouse   -388.585317
82                   Area^2 Room Has_Parking Has_Elevator  -1219.794455
83                 Area^2 Room Has_Warehouse Has_Elevator  -1659.329641
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -3708.159272
85                                            Area Room^4    560.059188
86                                Area Room^3 Has_Parking   -746.054089
