Transformed Features and CoefficientsShahran: degree=10, λ=1                                                  Feature   Coefficient
131                             Area Room^4 Has_Warehouse     22.495076
132                              Area Room^4 Has_Elevator      3.066157
133                 Area Room^3 Has_Parking Has_Warehouse   -967.233050
134                  Area Room^3 Has_Parking Has_Elevator   -154.187010
135                Area Room^3 Has_Warehouse Has_Elevator     -0.000000
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator   1194.657045
137                                                Room^6    -17.709046
138                                    Room^5 Has_Parking    -64.065083
139                                  Room^5 Has_Warehouse      3.798741
140                                   Room^5 Has_Elevator      7.881959
141                      Room^4 Has_Parking Has_Warehouse    182.376776
142                       Room^4 Has_Parking Has_Elevator    -26.515136
143                     Room^4 Has_Warehouse Has_Elevator     -0.000000
144         Room^3 Has_Parking Has_Warehouse Has_Elevator   -216.565038
145                                                Area^7   -173.121929
146                                           Area^6 Room     56.813416
147                                    Area^6 Has_Parking   -309.762723
148                                  Area^6 Has_Warehouse    -22.829530
149                                   Area^6 Has_Elevator    212.338553
150                                         Area^5 Room^2     63.405216
151                               Area^5 Room Has_Parking   -825.096169
152                             Area^5 Room Has_Warehouse   -508.345545
153                              Area^5 Room Has_Elevator    273.431670
154                      Area^5 Has_Parking Has_Warehouse   -197.139753
155                       Area^5 Has_Parking Has_Elevator   -391.942409
156                     Area^5 Has_Warehouse Has_Elevator     14.394223
157                                         Area^4 Room^3     83.948016
158                             Area^4 Room^2 Has_Parking    230.447208
159                           Area^4 Room^2 Has_Warehouse      9.948745
160                            Area^4 Room^2 Has_Elevator     45.083961
161                 Area^4 Room Has_Parking Has_Warehouse    163.100954
162                  Area^4 Room Has_Parking Has_Elevator     49.859552
163                Area^4 Room Has_Warehouse Has_Elevator     53.878521
164         Area^4 Has_Parking Has_Warehouse Has_Elevator    663.805045
165                                         Area^3 Room^4    -67.758740
166                             Area^3 Room^3 Has_Parking    264.917555
167                           Area^3 Room^3 Has_Warehouse     71.895734
168                            Area^3 Room^3 Has_Elevator    -29.225174
169               Area^3 Room^2 Has_Parking Has_Warehouse   -325.520733
170                Area^3 Room^2 Has_Parking Has_Elevator      0.000000
171              Area^3 Room^2 Has_Warehouse Has_Elevator    -32.796376
172    Area^3 Room Has_Parking Has_Warehouse Has_Elevator   2981.867489
173                                         Area^2 Room^5    -63.930694
174                             Area^2 Room^4 Has_Parking    -62.404614
