Transformed Features and CoefficientsShahran: degree=10, λ=0.0001                                                  Feature   Coefficient
0                                                    Area  32084.152433
1                                                    Room  -1420.880341
2                                             Has_Parking  -1888.136059
3                                           Has_Warehouse -18246.702270
4                                            Has_Elevator    285.205140
5                                                  Area^2  11384.424453
6                                               Area Room  -4325.847043
7                                        Area Has_Parking   4881.293332
8                                      Area Has_Warehouse  -6203.321138
9                                       Area Has_Elevator  -6115.511054
10                                                 Room^2   1938.565495
11                                       Room Has_Parking   5427.595462
12                                     Room Has_Warehouse    507.139439
13                                      Room Has_Elevator   1550.611580
14                              Has_Parking Has_Warehouse  13674.525313
15                               Has_Parking Has_Elevator   2991.830435
16                             Has_Warehouse Has_Elevator    901.717546
17                                                 Area^3   -172.067210
18                                            Area^2 Room    -19.600665
19                                     Area^2 Has_Parking   6754.108671
20                                   Area^2 Has_Warehouse     93.451223
21                                    Area^2 Has_Elevator  -9498.258209
22                                            Area Room^2   1277.232585
23                                  Area Room Has_Parking   5425.626807
24                                Area Room Has_Warehouse  -2974.278665
25                                 Area Room Has_Elevator  -3254.367070
26                         Area Has_Parking Has_Warehouse   8172.330198
27                          Area Has_Parking Has_Elevator -13125.360152
28                        Area Has_Warehouse Has_Elevator  -1400.597713
29                                                 Room^3    144.334441
30                                     Room^2 Has_Parking    310.133963
31                                   Room^2 Has_Warehouse    437.921696
32                                    Room^2 Has_Elevator  -1152.790492
33                         Room Has_Parking Has_Warehouse  -1690.119017
34                          Room Has_Parking Has_Elevator   2515.756222
35                        Room Has_Warehouse Has_Elevator   -706.562104
36                 Has_Parking Has_Warehouse Has_Elevator   5151.790325
37                                                 Area^4  -1973.288248
38                                            Area^3 Room   3070.394128
39                                     Area^3 Has_Parking   3995.639965
40                                   Area^3 Has_Warehouse   -642.488477
41                                    Area^3 Has_Elevator   1409.090434
42                                          Area^2 Room^2   1046.555686
43                                Area^2 Room Has_Parking  -2577.876517
44                              Area^2 Room Has_Warehouse    -65.040265
