Transformed Features and CoefficientsPunak: degree=10, λ=0.01                                                  Feature   Coefficient
0                                                    Area  56985.222120
1                                                    Room    166.774736
2                                             Has_Parking   6993.925900
3                                           Has_Warehouse -36026.632058
4                                            Has_Elevator   9693.812396
5                                                  Area^2   9983.541897
6                                               Area Room -11807.121954
7                                        Area Has_Parking   5532.816736
8                                      Area Has_Warehouse  -9701.829492
9                                       Area Has_Elevator   6622.888037
10                                                 Room^2   6518.437310
11                                       Room Has_Parking  -4894.463078
12                                     Room Has_Warehouse   -982.814072
13                                      Room Has_Elevator   -794.764823
14                              Has_Parking Has_Warehouse   -486.485307
15                               Has_Parking Has_Elevator  12183.115804
16                             Has_Warehouse Has_Elevator  -9398.158440
17                                                 Area^3  -1429.474085
18                                            Area^2 Room   1269.995967
19                                     Area^2 Has_Parking   3038.428536
20                                   Area^2 Has_Warehouse   4637.677169
21                                    Area^2 Has_Elevator  -8745.130974
22                                            Area Room^2   1447.469449
23                                  Area Room Has_Parking  -3428.720484
24                                Area Room Has_Warehouse   -143.400339
25                                 Area Room Has_Elevator    770.593242
26                         Area Has_Parking Has_Warehouse   8974.024789
27                          Area Has_Parking Has_Elevator  -4529.909845
28                        Area Has_Warehouse Has_Elevator    591.042791
29                                                 Room^3  -1067.124777
30                                     Room^2 Has_Parking   2006.923363
31                                   Room^2 Has_Warehouse    931.870204
32                                    Room^2 Has_Elevator    519.270899
33                         Room Has_Parking Has_Warehouse   -100.044427
34                          Room Has_Parking Has_Elevator   -411.139225
35                        Room Has_Warehouse Has_Elevator  -1506.194046
36                 Has_Parking Has_Warehouse Has_Elevator   7954.213223
37                                                 Area^4   -153.704454
38                                            Area^3 Room   1154.311790
39                                     Area^3 Has_Parking  -2049.894400
40                                   Area^3 Has_Warehouse   -539.986424
41                                    Area^3 Has_Elevator    592.240714
42                                          Area^2 Room^2   1253.953972
43                                Area^2 Room Has_Parking  -1917.415616
44                              Area^2 Room Has_Warehouse     79.092447
45                               Area^2 Room Has_Elevator   -466.827801
46                       Area^2 Has_Parking Has_Warehouse   3243.320640
47                        Area^2 Has_Parking Has_Elevator  -4328.379739
48                      Area^2 Has_Warehouse Has_Elevator      6.483585
49                                            Area Room^3   -411.028550
50                                Area Room^2 Has_Parking   2741.589361
51                              Area Room^2 Has_Warehouse   -258.829025
52                               Area Room^2 Has_Elevator     -4.924935
53                    Area Room Has_Parking Has_Warehouse  -4977.976847
54                     Area Room Has_Parking Has_Elevator   -358.599739
55                   Area Room Has_Warehouse Has_Elevator    696.174603
56            Area Has_Parking Has_Warehouse Has_Elevator   6412.380784
57                                                 Room^4    228.219861
58                                     Room^3 Has_Parking   -648.956683
59                                   Room^3 Has_Warehouse   -289.087957
60                                    Room^3 Has_Elevator    -88.787894
