Transformed Features and CoefficientsPunak: degree=8, λ=10                                                  Feature   Coefficient
131                             Area Room^4 Has_Warehouse      0.000000
132                              Area Room^4 Has_Elevator      0.117409
133                 Area Room^3 Has_Parking Has_Warehouse  -1436.239869
134                  Area Room^3 Has_Parking Has_Elevator     -3.819820
135                Area Room^3 Has_Warehouse Has_Elevator     -0.000000
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator   1390.493040
137                                                Room^6    466.484491
138                                    Room^5 Has_Parking   -159.272050
139                                  Room^5 Has_Warehouse    -33.149961
140                                   Room^5 Has_Elevator    -98.592218
141                      Room^4 Has_Parking Has_Warehouse     74.847207
142                       Room^4 Has_Parking Has_Elevator     99.800211
143                     Room^4 Has_Warehouse Has_Elevator    171.220975
144         Room^3 Has_Parking Has_Warehouse Has_Elevator     -0.000000
145                                                Area^7    -17.868868
146                                           Area^6 Room     20.619481
147                                    Area^6 Has_Parking     -1.701866
148                                  Area^6 Has_Warehouse      0.188684
149                                   Area^6 Has_Elevator      0.000000
150                                         Area^5 Room^2     44.427101
151                               Area^5 Room Has_Parking     14.687808
152                             Area^5 Room Has_Warehouse      0.078715
153                              Area^5 Room Has_Elevator      0.734376
154                      Area^5 Has_Parking Has_Warehouse    -54.842608
155                       Area^5 Has_Parking Has_Elevator     -0.919581
156                     Area^5 Has_Warehouse Has_Elevator     -0.063167
157                                         Area^4 Room^3     73.057528
158                             Area^4 Room^2 Has_Parking     62.601188
159                           Area^4 Room^2 Has_Warehouse      1.553014
160                            Area^4 Room^2 Has_Elevator      1.806528
161                 Area^4 Room Has_Parking Has_Warehouse   -152.673517
162                  Area^4 Room Has_Parking Has_Elevator     -5.106286
163                Area^4 Room Has_Warehouse Has_Elevator     -3.240826
164         Area^4 Has_Parking Has_Warehouse Has_Elevator   -247.533063
165                                         Area^3 Room^4     96.608402
166                             Area^3 Room^3 Has_Parking    178.865239
167                           Area^3 Room^3 Has_Warehouse      6.483628
168                            Area^3 Room^3 Has_Elevator      6.473028
169               Area^3 Room^2 Has_Parking Has_Warehouse   -348.594298
170                Area^3 Room^2 Has_Parking Has_Elevator    -13.190517
171              Area^3 Room^2 Has_Warehouse Has_Elevator    -12.622701
172    Area^3 Room Has_Parking Has_Warehouse Has_Elevator    696.133690
173                                         Area^2 Room^5   -348.138932
174                             Area^2 Room^4 Has_Parking    135.836871
175                           Area^2 Room^4 Has_Warehouse     24.327666
176                            Area^2 Room^4 Has_Elevator     16.980858
177               Area^2 Room^3 Has_Parking Has_Warehouse   -258.106170
178                Area^2 Room^3 Has_Parking Has_Elevator    -35.546863
179              Area^2 Room^3 Has_Warehouse Has_Elevator    -46.874789
180  Area^2 Room^2 Has_Parking Has_Warehouse Has_Elevator    457.331382
181                                           Area Room^6   -184.050493
182                               Area Room^5 Has_Parking   -551.169310
183                             Area Room^5 Has_Warehouse     -0.000000
184                              Area Room^5 Has_Elevator     -0.046958
185                 Area Room^4 Has_Parking Has_Warehouse    861.255983
186                  Area Room^4 Has_Parking Has_Elevator      1.214911
187                Area Room^4 Has_Warehouse Has_Elevator      0.000000
188    Area Room^3 Has_Parking Has_Warehouse Has_Elevator  -1383.841186
189                                                Room^7    246.460898
190                                    Room^6 Has_Parking    246.934035
191                                  Room^6 Has_Warehouse     78.159113
192                                   Room^6 Has_Elevator     58.802208
193                      Room^5 Has_Parking Has_Warehouse   -174.692035
194                       Room^5 Has_Parking Has_Elevator    -52.257510
195                     Room^5 Has_Warehouse Has_Elevator   -125.486103
196         Room^4 Has_Parking Has_Warehouse Has_Elevator     98.802736
197                                                Area^8     -7.761785
198                                           Area^7 Room      4.460941
199                                    Area^7 Has_Parking     -0.445165
200                                  Area^7 Has_Warehouse     -0.027570
201                                   Area^7 Has_Elevator     -0.000000
202                                         Area^6 Room^2     12.578892
203                               Area^6 Room Has_Parking     -1.632040
204                             Area^6 Room Has_Warehouse     -0.009129
205                              Area^6 Room Has_Elevator     -0.067157
206                      Area^6 Has_Parking Has_Warehouse     -1.837878
207                       Area^6 Has_Parking Has_Elevator     -0.000000
208                     Area^6 Has_Warehouse Has_Elevator     -0.000000
209                                         Area^5 Room^3     29.572646
210                             Area^5 Room^2 Has_Parking     -7.158404
211                           Area^5 Room^2 Has_Warehouse     -0.140312
212                            Area^5 Room^2 Has_Elevator     -0.221418
213                 Area^5 Room Has_Parking Has_Warehouse     14.025648
214                  Area^5 Room Has_Parking Has_Elevator      0.518312
215                Area^5 Room Has_Warehouse Has_Elevator      0.289174
216         Area^5 Has_Parking Has_Warehouse Has_Elevator    -55.140403
217                                         Area^4 Room^4     59.029098
218                             Area^4 Room^3 Has_Parking    -28.704112
219                           Area^4 Room^3 Has_Warehouse     -0.644773
220                            Area^4 Room^3 Has_Elevator     -0.930110
221               Area^4 Room^2 Has_Parking Has_Warehouse     60.141709
222                Area^4 Room^2 Has_Parking Has_Elevator      1.928302
