Transformed Features and CoefficientsParand: degree=8, λ=1                                                  Feature  Coefficient
132                              Area Room^4 Has_Elevator    78.292227
133                 Area Room^3 Has_Parking Has_Warehouse    27.422978
134                  Area Room^3 Has_Parking Has_Elevator   142.879499
135                Area Room^3 Has_Warehouse Has_Elevator     0.000000
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator   231.613398
137                                                Room^6     3.718913
138                                    Room^5 Has_Parking    -1.013117
139                                  Room^5 Has_Warehouse    -3.985066
140                                   Room^5 Has_Elevator    -8.273622
141                      Room^4 Has_Parking Has_Warehouse   -12.555154
142                       Room^4 Has_Parking Has_Elevator   -96.696459
143                     Room^4 Has_Warehouse Has_Elevator   -12.950050
144         Room^3 Has_Parking Has_Warehouse Has_Elevator   -95.791015
145                                                Area^7     0.048782
146                                           Area^6 Room    -6.199290
147                                    Area^6 Has_Parking     0.810070
148                                  Area^6 Has_Warehouse    -0.020889
149                                   Area^6 Has_Elevator    17.415164
150                                         Area^5 Room^2   -10.660549
151                               Area^5 Room Has_Parking    -0.534430
152                             Area^5 Room Has_Warehouse    -0.352608
153                              Area^5 Room Has_Elevator    10.529375
154                      Area^5 Has_Parking Has_Warehouse    -0.180305
155                       Area^5 Has_Parking Has_Elevator     6.231478
156                     Area^5 Has_Warehouse Has_Elevator    -0.129409
157                                         Area^4 Room^3     0.520287
158                             Area^4 Room^2 Has_Parking     1.911609
159                           Area^4 Room^2 Has_Warehouse    -0.139698
160                            Area^4 Room^2 Has_Elevator   -19.598970
161                 Area^4 Room Has_Parking Has_Warehouse    14.897400
162                  Area^4 Room Has_Parking Has_Elevator    -4.936022
163                Area^4 Room Has_Warehouse Has_Elevator    -0.060542
164         Area^4 Has_Parking Has_Warehouse Has_Elevator   -18.001073
165                                         Area^3 Room^4    14.117630
166                             Area^3 Room^3 Has_Parking    -4.161585
167                           Area^3 Room^3 Has_Warehouse    -0.964239
168                            Area^3 Room^3 Has_Elevator   -34.307623
169               Area^3 Room^2 Has_Parking Has_Warehouse     2.717831
170                Area^3 Room^2 Has_Parking Has_Elevator     6.514105
171              Area^3 Room^2 Has_Warehouse Has_Elevator     0.109740
172    Area^3 Room Has_Parking Has_Warehouse Has_Elevator    14.612020
173                                         Area^2 Room^5    -1.136248
174                             Area^2 Room^4 Has_Parking    -8.643078
175                           Area^2 Room^4 Has_Warehouse    -2.788622
176                            Area^2 Room^4 Has_Elevator     7.561935
177               Area^2 Room^3 Has_Parking Has_Warehouse  -105.860065
178                Area^2 Room^3 Has_Parking Has_Elevator   118.360033
179              Area^2 Room^3 Has_Warehouse Has_Elevator     0.500125
180  Area^2 Room^2 Has_Parking Has_Warehouse Has_Elevator   117.103413
181                                           Area Room^6    -2.451661
182                               Area Room^5 Has_Parking     0.675267
183                             Area Room^5 Has_Warehouse    -0.134812
184                              Area Room^5 Has_Elevator     4.778138
185                 Area Room^4 Has_Parking Has_Warehouse   -34.968045
186                  Area Room^4 Has_Parking Has_Elevator    62.621248
187                Area Room^4 Has_Warehouse Has_Elevator     0.389583
188    Area Room^3 Has_Parking Has_Warehouse Has_Elevator    91.383982
189                                                Room^7    -0.834125
190                                    Room^6 Has_Parking     1.559954
191                                  Room^6 Has_Warehouse    -0.345099
192                                   Room^6 Has_Elevator    -0.307577
193                      Room^5 Has_Parking Has_Warehouse     2.030716
194                       Room^5 Has_Parking Has_Elevator    -0.829245
195                     Room^5 Has_Warehouse Has_Elevator    -5.171041
196         Room^4 Has_Parking Has_Warehouse Has_Elevator   -81.669378
197                                                Area^8    -0.001985
198                                           Area^7 Room    -2.474896
199                                    Area^7 Has_Parking     0.294769
200                                  Area^7 Has_Warehouse    -0.001777
201                                   Area^7 Has_Elevator     6.215962
202                                         Area^6 Room^2    -6.813026
203                               Area^6 Room Has_Parking     0.270764
204                             Area^6 Room Has_Warehouse     0.012750
205                              Area^6 Room Has_Elevator    10.587655
206                      Area^6 Has_Parking Has_Warehouse    -0.066128
207                       Area^6 Has_Parking Has_Elevator    -0.861762
208                     Area^6 Has_Warehouse Has_Elevator    -0.196765
209                                         Area^5 Room^3    -3.573035
210                             Area^5 Room^2 Has_Parking     0.657339
211                           Area^5 Room^2 Has_Warehouse     0.154566
212                            Area^5 Room^2 Has_Elevator     4.228811
213                 Area^5 Room Has_Parking Has_Warehouse    -5.330695
214                  Area^5 Room Has_Parking Has_Elevator     1.457829
215                Area^5 Room Has_Warehouse Has_Elevator     0.001837
216         Area^5 Has_Parking Has_Warehouse Has_Elevator     0.113384
217                                         Area^4 Room^4     6.061450
218                             Area^4 Room^3 Has_Parking    -2.147659
219                           Area^4 Room^3 Has_Warehouse     0.201763
220                            Area^4 Room^3 Has_Elevator    -9.970722
221               Area^4 Room^2 Has_Parking Has_Warehouse    19.905163
222                Area^4 Room^2 Has_Parking Has_Elevator   -25.323119
223              Area^4 Room^2 Has_Warehouse Has_Elevator    -0.027302
224    Area^4 Room Has_Parking Has_Warehouse Has_Elevator    -0.895628
225                                         Area^3 Room^5     0.643769
226                             Area^3 Room^4 Has_Parking     8.798785
227                           Area^3 Room^4 Has_Warehouse     0.960608
228                            Area^3 Room^4 Has_Elevator    -3.851751
229               Area^3 Room^3 Has_Parking Has_Warehouse    18.128800
230                Area^3 Room^3 Has_Parking Has_Elevator   -36.335602
231              Area^3 Room^3 Has_Warehouse Has_Elevator    -0.051188
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator   -13.574547
233                                         Area^2 Room^6    -0.441824
234                             Area^2 Room^5 Has_Parking    -7.964339
235                           Area^2 Room^5 Has_Warehouse     0.201266
236                            Area^2 Room^5 Has_Elevator     8.095928
237               Area^2 Room^4 Has_Parking Has_Warehouse    14.888954
238                Area^2 Room^4 Has_Parking Has_Elevator     6.104174
239              Area^2 Room^4 Has_Warehouse Has_Elevator     0.000000
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator     0.000000
241                                           Area Room^7     0.356063
242                               Area Room^6 Has_Parking    -1.889146
243                             Area Room^6 Has_Warehouse     0.013647
244                              Area Room^6 Has_Elevator     1.727348
245                 Area Room^5 Has_Parking Has_Warehouse     2.986126
246                  Area Room^5 Has_Parking Has_Elevator     2.603063
247                Area Room^5 Has_Warehouse Has_Elevator    -0.000000
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator    23.361345
249                                                Room^8    -0.057154
250                                    Room^7 Has_Parking     0.158333
251                                  Room^7 Has_Warehouse    -0.100120
252                                   Room^7 Has_Elevator    -0.324863
253                      Room^6 Has_Parking Has_Warehouse     0.003143
254                       Room^6 Has_Parking Has_Elevator    -2.994337
255                     Room^6 Has_Warehouse Has_Elevator    -0.368835
256         Room^5 Has_Parking Has_Warehouse Has_Elevator    -6.719595
