Transformed Features and CoefficientsPunak: degree=8, λ=0.01                                                  Feature   Coefficient
130                               Area Room^4 Has_Parking    674.791655
131                             Area Room^4 Has_Warehouse    -53.571261
132                              Area Room^4 Has_Elevator    -14.581532
133                 Area Room^3 Has_Parking Has_Warehouse  -1430.307875
134                  Area Room^3 Has_Parking Has_Elevator     29.565787
135                Area Room^3 Has_Warehouse Has_Elevator    132.163717
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator   2246.230126
137                                                Room^6    -28.471170
138                                    Room^5 Has_Parking     28.434781
139                                  Room^5 Has_Warehouse    -77.946188
140                                   Room^5 Has_Elevator    -11.694035
141                      Room^4 Has_Parking Has_Warehouse   -127.563060
142                       Room^4 Has_Parking Has_Elevator     25.897083
143                     Room^4 Has_Warehouse Has_Elevator    224.397098
144         Room^3 Has_Parking Has_Warehouse Has_Elevator    187.669912
145                                                Area^7    -16.739535
146                                           Area^6 Room     18.537779
147                                    Area^6 Has_Parking     -2.889947
148                                  Area^6 Has_Warehouse      0.337231
149                                   Area^6 Has_Elevator     -0.146092
150                                         Area^5 Room^2     42.157826
151                               Area^5 Room Has_Parking     11.427029
152                             Area^5 Room Has_Warehouse     -0.080008
153                              Area^5 Room Has_Elevator      0.644704
154                      Area^5 Has_Parking Has_Warehouse    -50.293156
155                       Area^5 Has_Parking Has_Elevator     -1.401582
156                     Area^5 Has_Warehouse Has_Elevator     -0.210675
157                                         Area^4 Room^3     71.220401
158                             Area^4 Room^2 Has_Parking     54.880589
159                           Area^4 Room^2 Has_Warehouse      0.745392
160                            Area^4 Room^2 Has_Elevator      1.563166
161                 Area^4 Room Has_Parking Has_Warehouse   -148.527904
162                  Area^4 Room Has_Parking Has_Elevator     -3.958496
163                Area^4 Room Has_Warehouse Has_Elevator     -1.353263
164         Area^4 Has_Parking Has_Warehouse Has_Elevator   -280.977947
165                                         Area^3 Room^4    116.847333
166                             Area^3 Room^3 Has_Parking    177.317715
167                           Area^3 Room^3 Has_Warehouse      2.831396
168                            Area^3 Room^3 Has_Elevator      4.763216
169               Area^3 Room^2 Has_Parking Has_Warehouse   -381.991034
170                Area^3 Room^2 Has_Parking Has_Elevator    -10.058068
171              Area^3 Room^2 Has_Warehouse Has_Elevator     -5.876689
172    Area^3 Room Has_Parking Has_Warehouse Has_Elevator    813.092495
173                                         Area^2 Room^5   -359.546488
174                             Area^2 Room^4 Has_Parking    244.224649
175                           Area^2 Room^4 Has_Warehouse     10.519189
176                            Area^2 Room^4 Has_Elevator      8.963054
177               Area^2 Room^3 Has_Parking Has_Warehouse   -505.401757
178                Area^2 Room^3 Has_Parking Has_Elevator    -21.333056
179              Area^2 Room^3 Has_Warehouse Has_Elevator    -20.523135
180  Area^2 Room^2 Has_Parking Has_Warehouse Has_Elevator   1124.301404
181                                           Area Room^6   -299.714568
182                               Area Room^5 Has_Parking   -383.160110
183                             Area Room^5 Has_Warehouse     27.222566
184                              Area Room^5 Has_Elevator     13.284633
185                 Area Room^4 Has_Parking Has_Warehouse    653.097896
186                  Area Room^4 Has_Parking Has_Elevator    -10.022336
187                Area Room^4 Has_Warehouse Has_Elevator    -49.551934
188    Area Room^3 Has_Parking Has_Warehouse Has_Elevator  -1388.412424
189                                                Room^7    304.140013
190                                    Room^6 Has_Parking     15.991487
191                                  Room^6 Has_Warehouse     52.202272
192                                   Room^6 Has_Elevator     -1.490110
193                      Room^5 Has_Parking Has_Warehouse    -10.476461
194                       Room^5 Has_Parking Has_Elevator      1.769574
