Transformed Features and CoefficientsPunak: degree=10, λ=10                                                  Feature   Coefficient
0                                                    Area  51068.766983
1                                                    Room      0.000000
2                                             Has_Parking   1795.342370
3                                           Has_Warehouse -33994.620116
4                                            Has_Elevator      0.000000
5                                                  Area^2   9813.209141
6                                               Area Room  -4724.754209
7                                        Area Has_Parking   2593.651384
8                                      Area Has_Warehouse    267.684662
9                                       Area Has_Elevator   2115.131043
10                                                 Room^2     -0.000000
11                                       Room Has_Parking      0.000000
12                                     Room Has_Warehouse     -0.000000
13                                      Room Has_Elevator     -0.000000
14                              Has_Parking Has_Warehouse     -0.000000
15                               Has_Parking Has_Elevator  19896.159831
16                             Has_Warehouse Has_Elevator     -0.000000
17                                                 Area^3  -1939.549422
18                                            Area^2 Room    187.521113
19                                     Area^2 Has_Parking   1278.146977
20                                   Area^2 Has_Warehouse   4231.463266
21                                    Area^2 Has_Elevator  -5141.338153
22                                            Area Room^2    289.253793
23                                  Area Room Has_Parking     -0.000000
24                                Area Room Has_Warehouse     -0.000000
25                                 Area Room Has_Elevator     -0.000000
26                         Area Has_Parking Has_Warehouse   2773.401358
27                          Area Has_Parking Has_Elevator      0.000000
28                        Area Has_Warehouse Has_Elevator   6856.478748
29                                                 Room^3  -2215.743940
30                                     Room^2 Has_Parking     -0.000000
31                                   Room^2 Has_Warehouse     -0.000000
32                                    Room^2 Has_Elevator     -0.000000
33                         Room Has_Parking Has_Warehouse     -0.000000
34                          Room Has_Parking Has_Elevator     -0.000000
35                        Room Has_Warehouse Has_Elevator     -0.000000
36                 Has_Parking Has_Warehouse Has_Elevator     -0.000000
37                                                 Area^4   -108.499804
38                                            Area^3 Room   1059.161086
39                                     Area^3 Has_Parking  -1815.149901
40                                   Area^3 Has_Warehouse   -547.317971
41                                    Area^3 Has_Elevator    162.062362
42                                          Area^2 Room^2   1084.152427
43                                Area^2 Room Has_Parking   -372.422263
44                              Area^2 Room Has_Warehouse    -34.813479
45                               Area^2 Room Has_Elevator   -608.638659
46                       Area^2 Has_Parking Has_Warehouse      0.000000
47                        Area^2 Has_Parking Has_Elevator   -982.976086
48                      Area^2 Has_Warehouse Has_Elevator  -1091.634401
49                                            Area Room^3   -279.973372
50                                Area Room^2 Has_Parking    990.434665
51                              Area Room^2 Has_Warehouse      1.702376
52                               Area Room^2 Has_Elevator      0.000000
53                    Area Room Has_Parking Has_Warehouse     -0.000000
54                     Area Room Has_Parking Has_Elevator     -0.000000
55                   Area Room Has_Warehouse Has_Elevator     -0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator   2468.555743
57                                                 Room^4    214.025948
58                                     Room^3 Has_Parking      0.000000
59                                   Room^3 Has_Warehouse    -79.429092
60                                    Room^3 Has_Elevator   -253.020609
61                       Room^2 Has_Parking Has_Warehouse      0.000000
62                        Room^2 Has_Parking Has_Elevator      0.000000
63                      Room^2 Has_Warehouse Has_Elevator      0.000000
64            Room Has_Parking Has_Warehouse Has_Elevator     -0.000000
65                                                 Area^5     14.687649
66                                            Area^4 Room    107.074125
67                                     Area^4 Has_Parking   -242.551342
68                                   Area^4 Has_Warehouse     10.417530
69                                    Area^4 Has_Elevator     -5.133544
70                                          Area^3 Room^2    230.375379
71                                Area^3 Room Has_Parking    652.701646
72                              Area^3 Room Has_Warehouse      0.753051
73                               Area^3 Room Has_Elevator     70.667004
74                       Area^3 Has_Parking Has_Warehouse  -1909.194184
75                        Area^3 Has_Parking Has_Elevator     -0.550434
76                      Area^3 Has_Warehouse Has_Elevator     -0.000000
77                                          Area^2 Room^3    -44.130223
78                              Area^2 Room^2 Has_Parking    616.840255
79                            Area^2 Room^2 Has_Warehouse    104.609968
80                             Area^2 Room^2 Has_Elevator     48.893311
81                  Area^2 Room Has_Parking Has_Warehouse   -444.698778
82                   Area^2 Room Has_Parking Has_Elevator   -402.677752
83                 Area^2 Room Has_Warehouse Has_Elevator   -249.461791
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -1465.760811
85                                            Area Room^4    115.688545
86                                Area Room^3 Has_Parking  -1096.982496
87                              Area Room^3 Has_Warehouse     -0.738876
88                               Area Room^3 Has_Elevator     -0.214238
89                  Area Room^2 Has_Parking Has_Warehouse   1263.353791
90                   Area Room^2 Has_Parking Has_Elevator      0.000000
91                 Area Room^2 Has_Warehouse Has_Elevator      1.013598
92       Area Room Has_Parking Has_Warehouse Has_Elevator     -0.000000
93                                                 Room^5    -86.151215
94                                     Room^4 Has_Parking    411.529580
95                                   Room^4 Has_Warehouse    313.326948
96                                    Room^4 Has_Elevator    216.515380
97                       Room^3 Has_Parking Has_Warehouse     -0.000000
98                        Room^3 Has_Parking Has_Elevator     -0.000000
99                      Room^3 Has_Warehouse Has_Elevator     -0.000000
100         Room^2 Has_Parking Has_Warehouse Has_Elevator      0.000000
101                                                Area^6     -1.357601
102                                           Area^5 Room     51.315607
103                                    Area^5 Has_Parking    -48.322491
104                                  Area^5 Has_Warehouse     -4.808135
105                                   Area^5 Has_Elevator     -0.000000
106                                         Area^4 Room^2    141.387708
107                               Area^4 Room Has_Parking   -133.043840
108                             Area^4 Room Has_Warehouse     -0.067609
109                              Area^4 Room Has_Elevator     -7.864343
110                      Area^4 Has_Parking Has_Warehouse   -265.198331
111                       Area^4 Has_Parking Has_Elevator     -0.285467
112                     Area^4 Has_Warehouse Has_Elevator     -1.999766
113                                         Area^3 Room^3    340.316488
114                             Area^3 Room^2 Has_Parking   -296.360170
115                           Area^3 Room^2 Has_Warehouse    -12.339461
116                            Area^3 Room^2 Has_Elevator    -12.191446
117                 Area^3 Room Has_Parking Has_Warehouse    568.817948
118                  Area^3 Room Has_Parking Has_Elevator     42.721498
119                Area^3 Room Has_Warehouse Has_Elevator     29.012756
120         Area^3 Has_Parking Has_Warehouse Has_Elevator  -1630.602057
121                                         Area^2 Room^4    122.044906
122                             Area^2 Room^3 Has_Parking   -198.477813
123                           Area^2 Room^3 Has_Warehouse    -39.702803
124                            Area^2 Room^3 Has_Elevator    -34.364914
125               Area^2 Room^2 Has_Parking Has_Warehouse    331.428371
126                Area^2 Room^2 Has_Parking Has_Elevator     63.256194
127              Area^2 Room^2 Has_Warehouse Has_Elevator     84.385372
128    Area^2 Room Has_Parking Has_Warehouse Has_Elevator   -650.465264
129                                           Area Room^5   -562.732631
130                               Area Room^4 Has_Parking    626.236954
131                             Area Room^4 Has_Warehouse      0.259239
132                              Area Room^4 Has_Elevator      0.270181
133                 Area Room^3 Has_Parking Has_Warehouse  -1258.879801
134                  Area Room^3 Has_Parking Has_Elevator     -2.611961
135                Area Room^3 Has_Warehouse Has_Elevator     -0.595969
136    Area Room^2 Has_Parking Has_Warehouse Has_Elevator   1140.740757
137                                                Room^6    335.413617
138                                    Room^5 Has_Parking   -211.769405
139                                  Room^5 Has_Warehouse    -40.318538
140                                   Room^5 Has_Elevator    -74.007857
141                      Room^4 Has_Parking Has_Warehouse    108.774067
142                       Room^4 Has_Parking Has_Elevator     60.119936
143                     Room^4 Has_Warehouse Has_Elevator    180.901919
144         Room^3 Has_Parking Has_Warehouse Has_Elevator     -0.000000
145                                                Area^7     -4.414469
146                                           Area^6 Room      7.371040
147                                    Area^6 Has_Parking     -2.248249
148                                  Area^6 Has_Warehouse      0.146632
149                                   Area^6 Has_Elevator      0.000000
150                                         Area^5 Room^2     22.832551
151                               Area^5 Room Has_Parking     12.275328
152                             Area^5 Room Has_Warehouse      0.026953
153                              Area^5 Room Has_Elevator      0.742547
154                      Area^5 Has_Parking Has_Warehouse    -49.270228
